,Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Trial,Recording Time,Reaction Time,Reach Time,Grip Time,layout,position
0,14,11,40,29,0.055027513756878435,0.0,0.21410705352676337,0.32016009599999995,4655.432570487348,6.803533357550226,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
1,15,12,20,8,0.1860930465232616,0.0,0.2611305652826413,0.1520760456,2783.274788655889,3.768585345038479,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
2,17,12,20,8,0.23011505752876438,0.17208604302151073,0.2991495747873937,0.12706353809999998,2832.885391876985,3.5125487176993535,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
3,18,13,21,8,0.24912456228114055,0.17508754377188593,0.3431715857928964,0.1680840504,2794.075058652049,3.3080224848747233,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
4,20,11,38,27,0.03401700850425212,0.0,0.08704352176088044,0.10805403239999999,4517.104798117381,5.217685337676708,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
5,20,17,23,6,0.31015507753876936,0.24412206103051523,0.4122061030515257,0.1680840504,2951.798629088313,3.409607949141958,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
6,20,16,23,7,1.0355177588794398,0.9524762381190595,1.1135567783891944,0.1610805483,4990.531937084425,5.764538676672983,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
7,24,19,29,10,0.40120060030015003,0.3601800900450225,0.44822411205602797,0.08804402639999999,2610.8455897633253,3.220329707768899,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
8,25,19,29,10,0.4062031015507754,0.36418209104552274,0.5712856428214107,0.20710356209999997,2608.6614749815053,3.233838656498261,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
9,25,21,31,10,1.217608804402201,1.0665332666333165,1.2606303151575786,0.19409705819999998,2800.992173529404,3.4722622518020247,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
10,26,15,31,16,0.2641320660330165,0.1570785392696348,0.3001500750375187,0.1430715429,2556.965736803319,3.1924976606525486,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
11,26,21,31,10,1.2236118059029515,1.075537768884442,1.2676338169084542,0.19209605759999998,2809.855569340884,3.5082430721606155,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
12,29,25,35,10,0.5072536268134067,0.45622811405702846,0.5552776388194096,0.09904952969999999,3456.846017527579,4.268088802459317,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
13,16,13,19,6,0.35017508754377186,0.27313656828414207,0.6953476738369184,0.4222111266,3153.1803121100615,4.140513204015154,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
14,18,15,22,7,0.13006503251625812,0.05702851425712856,0.2131065532766383,0.15607804679999998,6980.286378874147,8.26425339601301,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
15,18,15,23,8,0.6183091545772886,0.5172586293146573,0.6973486743371685,0.180090054,5824.644262809523,6.89604029358681,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
16,19,16,23,7,1.7578789394697347,1.6878439219609804,1.8719359679839918,0.1840920552,3764.190590009112,4.293734068034467,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
17,20,16,23,7,1.744872436218109,1.6728364182091044,1.8849424712356178,0.21210606359999998,3730.4218909351393,4.308991815242518,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
18,25,19,30,11,1.054527263631816,1.007503751875938,1.0975487743871934,0.090045027,4846.399345686333,6.0078602376030625,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
19,25,22,29,7,1.4707353676838417,1.3966983491745872,1.5457728864432214,0.14907454469999998,4631.510655262715,5.7414725285803305,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
20,14,12,16,4,0.4092046023011505,0.07603801900950474,0.6063031515757878,0.5302651589999999,145752.53004589447,213.0053835170846,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
21,15,13,18,5,0.9544772386193096,0.0,1.0925462731365683,0.2781390834,19605.01344002886,26.545408538355332,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
22,16,14,19,5,0.8694347173586793,0.0,1.075537768884442,0.41420712419999994,20273.80493759458,26.621997073032574,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
23,16,14,19,5,0.8954477238619309,0.0,1.074537268634317,0.360180108,20326.302150693293,26.690932364545844,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
24,16,14,19,5,0.897448724362181,0.0,1.074537268634317,0.35617810679999995,20326.24462009522,26.690856819801375,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
25,18,15,21,6,1.7538769384692345,1.6738369184592294,1.8439219609804902,0.170085051,2905.703207118635,3.4401837251137555,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
26,27,22,31,9,0.43621810905452724,0.36718359179589793,0.6003001500750375,0.2331165699,16279.202943641905,20.365842685557244,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
27,28,23,34,11,0.5682841420710355,0.09804902451225612,0.6083041520760379,0.5102551529999999,14205.998671807123,17.638796059579935,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
28,29,25,34,9,0.19209604802401198,0.10905452726363181,0.6103051525762881,0.5012506502999999,15183.887541839156,18.747199055593516,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
29,13,11,16,5,0.11505752876438219,0.011005502751375688,0.6083041520760379,0.5972986791,51759.88881155787,81.2293545553947,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
30,13,10,16,6,1.8769384692346172,1.7838919459729863,1.9579789894947472,0.17408705219999998,3187.9864836852244,5.003064928208431,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
31,14,12,16,4,0.16008004002001,0.02101050525262631,0.6163081540770384,0.5952976784999999,52404.731757372116,76.58522279218174,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
32,14,12,17,5,0.4412206103051525,0.31615807903951976,0.5502751375687843,0.23411707019999997,158416.4826539514,231.51271290115747,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
33,14,10,16,6,1.8639319659829914,1.7698849424712355,1.9459729864932465,0.17608805279999998,3174.026624523081,4.638579915127999,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
34,16,13,19,6,0.7463731865932965,0.0,0.8264132066033016,0.1620810486,10403.387581959754,13.660926235064007,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
35,16,11,20,9,0.9834917458729364,0.9184592296148073,1.0455227613806903,0.12706353809999998,17516.79861433064,23.001708997153848,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
36,21,14,26,12,1.425712856428214,1.3686843421710855,1.471735867933967,0.1030515309,3665.675892318263,4.3299558871921535,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
37,22,9,26,17,0.5632816408204102,0.5182591295647824,0.6103051525762881,0.0920460276,7464.690662061926,8.916964814859908,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
38,23,9,27,18,0.5552776388194096,0.43821910955477733,0.6053026513256627,0.16708355009999998,7510.103462150047,9.179845068059784,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
39,25,20,36,16,0.04202101050525262,0.0,0.09904952476238119,0.11605803479999999,17575.17798715025,21.787146594054228,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
40,26,22,30,8,0.1810905452726363,0.0,0.240120060030015,0.120060036,6605.47625355418,8.247262442136417,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
41,28,24,35,11,0.4292146073036518,0.34517258629314657,0.4822411205602801,0.1370685411,13148.67809972812,16.325980088569608,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
42,29,24,34,10,0.7873936968484242,0.7123561780890445,0.8264132066033016,0.11405703419999999,7863.0046187216285,9.70827216390003,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
43,17,15,21,6,0.21810905452726362,0.11905952976488243,0.3951975987993997,0.27613808279999996,5937.096654685853,7.3615195662597745,4,76.61566666666667,0.47409999999999286,0.3378666666666703,0.5712999999999937,1,3
44,17,14,20,6,0.44222111055527763,0.06903451725862932,0.5512756378189094,0.48224114459999995,2850.9093232601663,3.534896934556071,4,76.61566666666667,0.47409999999999286,0.3378666666666703,0.5712999999999937,1,3
45,18,15,23,8,0.18809404702351173,0.10105052526263131,0.3021510755377689,0.20110056029999998,6406.181996170283,7.58454717238503,4,76.61566666666667,0.47409999999999286,0.3378666666666703,0.5712999999999937,1,3
46,18,13,22,9,0.6783391695847923,0.047023511755877934,0.7313656828414207,0.6843422052,2790.1706451977775,3.303399886259492,4,76.61566666666667,0.47409999999999286,0.3378666666666703,0.5712999999999937,1,3
47,19,16,23,7,0.17208604302151073,0.09904952476238119,0.2421210605302651,0.1430715429,6515.53764488821,7.432138540399953,4,76.61566666666667,0.47409999999999286,0.3378666666666703,0.5712999999999937,1,3
48,22,19,26,7,0.8564282141070535,0.7773886943471735,0.9414707353676838,0.1640820492,8790.6751199522,10.500922850274689,4,76.61566666666667,0.47409999999999286,0.3378666666666703,0.5712999999999937,1,3
49,23,19,27,8,0.8394197098549274,0.7603801900950474,0.9404702351175587,0.180090054,8555.84319221784,10.458086939415937,4,76.61566666666667,0.47409999999999286,0.3378666666666703,0.5712999999999937,1,3
