,Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Trial,Recording Time,Reaction Time,Reach Time,Grip Time,layout,position
0,32,24,38,14,0.05302651325662831,0.01700850425212606,0.09804902451225612,0.0810405243,6327.897589740064,7.5662947855220075,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
1,32,27,37,10,1.5987993996998497,1.5607803901950974,1.6558279139569785,0.09504752849999999,5128.120517723166,6.131716100413543,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
2,37,31,43,12,1.040520260130065,0.9804902451225612,1.1095547773886942,0.12906453869999998,2676.2910297708254,3.3059576289536428,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
3,38,33,45,12,0.144072036018009,0.09804902451225612,0.1860930465232616,0.08804402639999999,4830.675080812019,6.009418859453531,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
4,38,27,44,17,1.5617808904452224,1.4997498749374687,1.5917958979489744,0.0920460276,3939.120145405166,4.900313619824745,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
5,39,31,45,14,1.5557778889444722,1.4947473736868433,1.5877938969484742,0.0930465279,3940.249180219463,4.974890172966722,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
6,40,35,47,12,1.5447723861930964,1.491745872936468,1.583791895947974,0.0920460276,3950.9606687577084,5.068433924420492,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
7,43,37,48,11,0.5932966483241621,0.5352676338169085,0.6283141570785392,0.0930465279,2654.5999241696654,3.56697662336131,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
8,43,37,49,12,1.856928464232116,1.8139069534767382,1.889944972486243,0.0760380228,2481.303092442368,3.3341182773462514,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
9,45,37,55,18,1.5197598799399699,1.491745872936468,1.5457728864432214,0.05402701619999999,4756.9391216226,6.5508482629722495,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
10,52,33,62,29,0.11605802901450725,0.0850425212606303,0.13806903451725863,0.053026515899999994,5051.152026811018,6.949137371016886,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
11,55,45,64,19,1.7628814407203601,1.7358679339669834,1.7828914457228613,0.0470235141,3791.769549555672,5.026419314762544,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
12,59,41,70,29,1.8829414707353676,1.8649324662331164,1.8999499749874935,0.035017510499999994,2642.9583898192936,3.3975626688180274,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
13,64,52,73,21,0.33216608304152073,0.31315657828914456,0.35317658829414705,0.040020011999999994,2426.6471133057757,3.146111302920042,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
14,65,54,80,24,0.7443721860930465,0.7283641820910455,0.7653826913456728,0.0370185111,2441.1955402004533,3.168837742066783,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
15,65,53,76,23,1.2316158079039519,1.2136068034017007,1.250625312656328,0.0370185111,3196.287199859484,4.148998040758344,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
16,65,51,77,26,1.5437718859429714,1.5277638819409705,1.5647823911955976,0.0370185111,3672.3272886998393,4.766930433068988,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
17,70,60,80,20,0.5992996498249125,0.5682841420710355,0.6163081540770384,0.048024014399999995,3480.31632285197,4.576871410908685,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
18,73,61,80,26,0.8094047023511756,0.7893946973486743,0.8664332166083041,0.07703852309999999,2710.789190781895,3.5639657255626203,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
19,74,61,80,28,1.0775387693846923,1.0625312656328163,1.0955477738869435,0.0330165099,2416.053318208226,3.176983937691174,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
20,80,74,80,14,0.17508754377188593,0.14507253626813404,0.19309654827413705,0.048024014399999995,6142.780976293807,8.035471876892496,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
21,80,70,80,22,0.3051525762881441,0.2901450725362681,0.3171585792896448,0.027013508099999996,2437.0378633031246,3.1879289346418336,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
22,80,67,80,28,0.4262131065532766,0.4102051025512756,0.4402201100550275,0.030015009,2678.9305680885986,3.5043527228300073,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
23,80,70,80,22,0.6153076538269134,0.6003001500750375,0.6473236618309154,0.0470235141,3678.3605009233215,4.811723301271718,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
24,80,55,80,52,0.7383691845922961,0.720360180090045,0.7503751875937968,0.030015009,2787.222684893272,3.646011405181095,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
25,80,57,80,48,1.667833916958479,1.6558279139569785,1.6788394197098548,0.0230115069,2885.7312863202,3.7748721116677646,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
26,80,63,80,36,1.7848924462231115,1.7688844422211105,1.8029014507253625,0.034017010199999996,6036.065876152074,7.895876115731885,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
27,80,75,80,12,1.8179089544772384,1.76088044022011,1.8309154577288642,0.07003502099999999,2386.06852767633,3.1212551162860134,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
28,80,65,80,32,1.9409704852426213,1.9279639819909953,1.9519759879939969,0.024012007199999998,2796.3049704355235,3.6578920908728554,0,26.188833333333335,0.5250999999999983,0.4341333333333317,0.47856666666666925,1,4
29,36,29,68,39,1.7848924462231115,1.7558779389694845,1.8179089544772384,0.062031018599999994,2502.1045485025606,3.0621477034941074,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
30,37,29,68,39,1.7828914457228613,1.7538769384692345,1.8149074537268632,0.061030518299999996,2502.668308048932,3.091485676893429,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
31,39,33,45,12,0.336168084042021,0.29814907453726863,0.4782391195597799,0.180090054,3441.9723814323693,4.345774541867177,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
32,39,33,45,12,1.327663831915958,1.28264132066033,1.3696848424212105,0.08704352609999999,3046.3390027352707,3.8462547100609585,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
33,44,37,51,14,1.4137068534267132,1.2996498249124562,1.44272136068034,0.1430715429,2485.6967411511987,3.391664795637189,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
34,56,37,75,38,0.37618809404702347,0.35617808904452225,0.3941970985492746,0.0380190114,2595.542789789998,3.4062574643064,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
35,58,49,80,20,0.9704852426213106,0.9464732366183091,0.9984992496248123,0.052026015599999996,5112.6776855021735,6.599951425453219,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
36,64,56,73,17,0.6663331665832916,0.6303151575787893,0.6913456728364181,0.061030518299999996,3238.9046866608946,4.199190969264152,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
37,67,56,76,20,0.32116058029014505,0.2911455727863932,0.34217108554277137,0.0510255153,3114.380992967269,4.056700870875315,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
38,67,57,80,22,1.7418709354677337,1.7218609304652326,1.7698849424712355,0.048024014399999995,5391.088310833505,7.022272706810685,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
39,67,56,80,24,1.9099549774887443,1.8919459729864931,1.9309654827413705,0.039019511699999995,2798.6643825063147,3.6454577212738637,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
40,68,59,77,18,1.840920460230115,1.8139069534767382,1.8629314657328664,0.049024514699999994,3943.8221787285947,5.152700572721518,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
41,70,59,80,24,1.632816408204102,1.6098049024512255,1.697848924462231,0.08804402639999999,4595.939659448159,6.043997982445565,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
42,71,54,80,36,0.39019509754877435,0.37618809404702347,0.4072036018009004,0.031015509299999997,3025.9875212416537,3.9810457320035626,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
43,76,64,80,26,1.4037018509254626,1.3866933466733367,1.4217108554277138,0.035017510499999994,6418.342747834425,8.429172402581475,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
44,77,58,80,40,0.8474237118559279,0.8344172086043021,0.8614307153576788,0.027013508099999996,3490.911605080057,4.573585155329968,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
